"date","title","content","articles","url"
"5/9/2023, 5:48 AM","After 18 months, GitHub’s big code search overhaul is generally available","The technical preview that started in December 2021 is now available to everyone.","RUMMAGING THROUGH REPOS —
After 18 months, GitHub’s big code search overhaul is generally available
The technical preview that started in December 2021 is now available to everyone.

SAMUEL AXON - 5/9/2023, 5:48 AM

GitHub's new code search.
 GitHub
GitHub's new code view.
 GitHub
Previous Slide
Next Slide

GitHub has announced the general availability of a ground-up rework of its code search that has been in development for years.

The changes include substantial new functionality that is significantly more aware of context. The company says its new code search is ""about twice as fast"" as the old code search and that it ""understands code, putting the most relevant results first.""

That's on top of redesigned search and code view interfaces. The new search interface offers suggestions and completions and categorizes and formats the results more intelligently.

Within the code view, you can easily see references in a side panel, more or less matching what you'd be able to do in Visual Studio when it comes to looking up and navigating to references. Substring queries, regular expressions, and symbol search are also supported.

Advertisement

FURTHER READING
The time has come: GitHub expands 2FA requirement rollout March 13
GitHub published a guide to syntax, including but not limited to the usual stuff like leveraging boolean operations in queries or performing an exact search with quotation marks. There are also more specific features, like limiting your search to a specific repository, language, path, or organization.

This overhaul was first made available as a technology preview with a waitlist in December 2021. Those who opted in and were offered the new search spent a long time using it alongside the old code search as a separate tool.

If you want to go way deeper in understanding it, you can check out the GitHub engineering blog's February 2023 post detailing exactly how it works, which technologies were used to build it, and so on.

The changes are meant to improve productivity for software developers—for example, the new search could be much more efficient for finding specific vulnerabilities in a large codebase.

As noted, the change has been in the works for a while, but GitHub is positioning it as part of a larger initiative to bring more intelligence to the platform. The other most notable bullet point in that initiative is the enrichening and expansion of the AI coding tool Copilot leveraging generative AI.

Listing image by GitHub","https://arstechnica.com/gadgets/2023/05/after-18-months-githubs-big-code-search-overhaul-is-generally-available/"
"5/9/2023, 5:31 AM","Next-gen Apple Watch will reportedly get its first major CPU upgrade in years","The chip's new CPU will reportedly be based on the Apple A15 instead of the A13.","FRESH CHIP —
Next-gen Apple Watch will reportedly get its first major CPU upgrade in years
The chip's new CPU will reportedly be based on the Apple A15 instead of the A13.

ANDREW CUNNINGHAM - 5/9/2023, 5:31 AM

Enlarge / The Apple Watch Series 7, which uses a chip that is very similar to its predecessor (the Series 6) and its successor (the Series 8).
Corey Gaskin

Technically, each year's Apple Watch includes a processor upgrade. The Apple Watch Series 8 comes with an Apple S8 processor, which is a larger number than the S7 SoC that came with the Series 7 or the S6 that came with the Series 6.

However, none of those processors has actually provided much by way of a performance upgrade; they all seem to use an identical processor with a CPU architecture based on the Apple 13 (presumably the small, energy-efficient cores) and a 7 nm manufacturing process from TSMC.

FURTHER READING
Apple Watch Series 3, dead in all but name, now actually dead

Bloomberg's Mark Gurman (via MacRumors) says this year will be different. He says the next-generation chip (presumably the Apple S9) will be a more substantial upgrade than the last few, with a new processor based on the same architecture used in Apple's newer A15 chip. And if the CPU is changing, Apple could also take the opportunity to upgrade the manufacturing process, potentially providing a boost in battery life (and other features) along with an increase in speed.

A new chip would likely be the most interesting thing about the next-generation Apple Watch's hardware; Gurman doesn't expect major design changes for the watch this year, and we can probably expect it to look about the same as every Apple Watch introduced since 2018's Series 4 design increased the screen sizes. Gurman expects a fairly substantial overhaul for the watchOS software this year, though, with a revamped user interface centered on iOS-style widgets.

The benefit of keeping the processor relatively unchanged for so many years is that a newer watchOS should run equally well on several generations' worth of watch hardware rather than requiring the latest and greatest chip to shine. It's too early to tell whether the watchOS 10 update will drop any older models; watchOS 9 put the Apple Watch Series 3 out of its misery, though not before updating its software became a major pain.

Ars Technica may earn compensation for sales from links on this post through affiliate programs.","https://arstechnica.com/gadgets/2023/05/next-gen-apple-watch-will-reportedly-get-its-first-major-cpu-upgrade-in-years/"
"5/9/2023, 3:01 AM","Musk issues ultimatum to inactive Twitter users: Log in or be purged","""We cannot release inactive usernames at this time,"" Twitter's policy still says.","URGE TO PURGE —
Musk issues ultimatum to inactive Twitter users: Log in or be purged
""We cannot release inactive usernames at this time,"" Twitter's policy still says.

ASHLEY BELANGER - 5/9/2023, 3:01 AM

Enlarge
Anadolu Agency / Contributor | Anadolu

On Monday, Twitter CEO Elon Musk tweeted a warning that all inactive Twitter accounts would soon be purged, potentially impacting follower counts.

""We’re purging accounts that have had no activity at all for several years, so you will probably see follower count drop,"" Musk tweeted.

Twitter's official policy now considers a user inactive if they fail to log in ""at least every 30 days."" An archived version of this policy shows that as recently as April 19, the policy had been to log in every six months to keep an account active. Twitter seems to have quietly updated the policy within the past few weeks.

Twitter's announcement comes days after Musk threatened to reassign NPR's Twitter account if it stopped posting tweets. The threat came after the news organization announced it was leaving Twitter.

Responding to Musk's seeming pressure to get NPR to rejoin Twitter, NPR reporter Bobby Allyn pointed out that Twitter would be violating its inactive account policy if it reassigned the NPR account. Allyn noted that NPR would only be subject to the policy if it failed to log in, not for failing to tweet, as Musk had suggested would be violative.

Advertisement

""Musk did not answer when asked whether he planned to change the platform's definition of inactivity,"" Allyn reported.

It's still unclear to many Twitter users what the most recent change to the inactive account policy means.

Responding to Musk's most recent tweet, many Twitter users asked if inactive accounts that had previously been suspended—like Donald Trump's, which hasn't tweeted since January 2021—would be purged or if Musk planned to be lenient on suspended accounts that were only recently welcomed back to the platform. Others wondered what the policy change might mean for accounts where the user is deceased, including popular Twitter feeds that memorialize celebrities.

Some dared to dream that Twitter's decision means that long-inactive coveted handles might soon become available. Right now, it does not seem like Twitter has any intention of letting users claim inactive usernames, but Musk moves fast, and that policy could change any day. Twitter's policy still states that ""we cannot release inactive usernames at this time.""","https://arstechnica.com/tech-policy/2023/05/twitter-starts-purging-inactive-accounts-after-quiet-policy-change/"
"5/9/2023, 2:18 AM","Nintendo, ticked by Zelda leaks, does a DMCA run on Switch emulation tools","One Switch key-dumping project is still up, but an Android emulator is down.","DMCA TAKEDOWNS —
Nintendo, ticked by Zelda leaks, does a DMCA run on Switch emulation tools
One Switch key-dumping project is still up, but an Android emulator is down.

KEVIN PURDY - 5/9/2023, 2:18 AM

Enlarge / Tools with great potential often require great effort to unlock. In Zelda games, that usually means a number of Heart Containers. In the emulation underground, you need title keys, shader caches, hotfixes, and a willingness to download from some sketchy sites.
Nintendo/YouTube

Perhaps woken by news of its next premier first-party title already looking really impressive on emulators, Nintendo has moved to take down key tools for emulating and unlocking Switch consoles, including one that lets Switch owners grab keys from their own device.

Simon Aarons maintained a forked repository of Lockpick, a tool (along with Lockpick_RCM) that grabbed the encryption keys from a Nintendo Switch and allowed it to run officially licensed games. Aarons tweeted on Thursday night that Nintendo had issued DMCA takedown requests to GitHub, asking Lockpick, Lockpick_RCM, and nearly 80 forks and derivations to be taken down under section 1201 of the Digital Millennium Copyright Act, which largely makes illegal the circumvention of technological protection measures that safeguard copyrighted material.

Nintendo's takedown request (RTF file) notes that the Switch contains ""multiple technological protection measures"" that allow the Switch to play only ""legitimate Nintendo video game files."" Lockpick tools, combined with a modified Switch, let users grab the cryptographic keys from their own Switch and use them on ""systems without Nintendo's Console TPMs"" to play ""pirated versions of Nintendo's copyright-protected game software."" GitHub typically allows repositories with DMCA strikes filed against them to remain open while their maintainers argue their case.

Still, it was an effective move. Seeing Nintendo's move on Lockpick, a popular Switch emulator on Android, Skyline, called it quits over the weekend, at least as a public-facing tool you can easily download to your phone. In a Discord post [Edit, 5pm Eastern: Previously described as removed, but now linked], developer ""Mark"" wrote that ""the risks associated with a potential legal case are too high for us to ignore, and we cannot continue knowing that we may be in violation of copyright law.""

Advertisement

Prior to Nintendo's DMCA request, Skyline's team had believed that using keys from your own Switch console, to emulate games you legally purchased, was legal. Skyline remains as an open source project, though the core team will not update or otherwise work on it as of Sunday. Other popular Switch emulators for PC, Yuzu, and Ryujinx, remain online, with the Ryujinx team issuing a statement on their Discord that they would not be shutting down, according to news reports.

FURTHER READING
Hands-on with Tears of the Kingdom’s Zelda-meets-Minecraft construction set

Lockpick, which remains up as of this writing, has been in development since early 2019. Nintendo's sudden interest in ensuring that people can't rip keys from their Switch or emulate Switch games regardless of provenance likely stems from this week's May 12 launch of The Legend of Zelda: Tears of the Kingdom. Physical copies of Tears began circulating shortly before May 1, leading to the game being dumped, pirated, played, and streamed, although usually for only moments before Nintendo moved to shut down Discord servers and Twitch streams.

Nintendo has been fighting uses of its hardware beyond anything it intended for nearly its entire life, at least as a video game company. The DS, 3DS, Wii, and even the Game & Watch novelty release have all seen hacking and homebrew scenes. The Switch, in particular, has seen Nintendo work hard to avoid widespread piracy, setting up online blockers for pirates, releasing new hack-resistant hardware, targeting online mod retailers, issuing ISP-level blocks, and, most recently, following through on criminal prosecution that will leave one hack-team member likely paying the company for the rest of his life.

Every time Nintendo clamps down on the tools used to enable piracy, it also disrupts the ecosystems that produce Linux installations, homebrew games and tools, and emulators for legally purchased games. That said, Tears of the Kingdom is rather easy to find online at the moment, as are exhaustive guides to getting the game running in PC emulation tools. The cat seems entirely out of the bag, but this cat also requires hours of effort to get running smoothly on even the most upgraded PC and requires lots of downloads from sites that push ad blockers to their limits.

Most people who want to really play and enjoy Tears will do so with a Switch and a purchase. Nintendo will mostly succeed at making any other approaches harder to pull off.","https://arstechnica.com/gaming/2023/05/nintendo-files-dmca-takedowns-on-switch-emulation-tools-just-before-tears-debut/"
"5/9/2023, 2:12 AM","Musk’s only response to graphic shooting images is to doubt gunman’s Nazi ties","Mass shooting images went viral on Twitter despite seemingly violating policies.","CAUSING DISTRESS —
Musk’s only response to graphic shooting images is to doubt gunman’s Nazi ties
Mass shooting images went viral on Twitter despite seemingly violating policies.

ASHLEY BELANGER - 5/9/2023, 2:12 AM

Enlarge / A sign asking people to ""Pray for Allen, Texas,"" stands at a memorial to those killed at the Allen Premium Outlets mall after the mass shooting on May 8, 2023, in Allen, Texas.
Joe Raedle / Staff | Getty Images North America

Graphic images from a Texas mass shooting on Saturday that killed nine (including the gunman) and wounded seven are still circulating on Twitter after spreading virally all weekend. Critics told The New York Times that unlike other platforms, Twitter isn't doing enough to remove or label these ""unusually graphic"" images, especially in footage where dead bodies of some victims, including a young child, appear to be identifiable, Reuters reported.

Family members do ""not deserve to see the dead relatives spread across Twitter for everybody to see,” photojournalist Pat Holloway told the Times. Over the weekend, Holloway joined others in tweeting directly at Twitter CEO Elon Musk to improve the platform's content moderation.

Twitter's policy on sharing content after a violent attack acknowledges that ""exposure to these materials may also cause harm to those that view them."" That policy is primarily focused on banning the distribution of content created by perpetrators of attacks, but it also places restrictions on ""bystander-generated content"" depicting ""dead bodies"" or ""content that identifies victims.""

Another policy on sharing sensitive media says that ""there are also some types of sensitive media content that we don’t allow at all""—including some depictions of deaths, violent crimes, and bodily fluids like blood—""because they have the potential to normalize violence and cause distress to those who view them.""

So far, Musk, Twitter trust and safety chief Ella Irwin, and the @TwitterSafety account have not tweeted or commented to clarify how Twitter's policies apply in this case.

Advertisement

Musk did respond to an account tweeting about the gunman and pushing back against a Washington Post report that described the gunman, Mauricio Garcia, as potentially holding neo-Nazi beliefs. A law enforcement official told The Daily Mail that federal agents had reviewed Garcia's social media accounts and found he ""had expressed an interest in neo-Nazi views"" and could be seen wearing ""a patch on his chest reading RWDS""—an acronym used by extremists and white supremacists standing for ""Right Wing Death Squad.""

""Do they cite any evidence for him being a 'nazi white supremacist'?"" Musk tweeted. He seemed to be asking for clarification after boasting that—unlike news reports describing the shooting, in his view—""this platform is hell bent on being the least untrue source of information.""

It's possible that images from the shooting spread more quickly on Twitter because the platform notably invests less in content moderation than other platforms. Last fall, Twitter came under fire for gutting its content moderation team and then ditching its Trust and Safety Council. Earlier this year, the European Union told Musk to hire more mods or risk falling out of compliance with the EU's Digital Service Act. At that time, Twitter issued a statement that it intended to comply with the EU order, but so far, Musk seems happier to rely on Community Notes and user reports flagging violative content than restoring the Trust and Safety team to prioritize content moderation.

On Twitter, there's an ongoing debate between users who want to share the images from the shooting to protest gun violence and those like Holloway, who expect Twitter to block such sensitive content. For those who want to share the images, Twitter recommends that users proactively mark them as sensitive media. To do that, ""navigate to your safety settings and select the 'Mark media you Tweet as containing material that may be sensitive' option,"" Twitter's policy directs users. Twitter will also apply the sensitive media filter on violative images reported by users.

Twitter did not respond to Ars' request for comment.

Page: 1 2 Next →","https://arstechnica.com/tech-policy/2023/05/twitter-fails-to-remove-label-graphic-images-after-texas-mass-shooting/"
"5/9/2023, 1:42 AM","White House challenges hackers to break top AI models at DEF CON 31","The ""largest-ever"" AI red team will seek flaws in OpenAI, Google, Anthropic language models.","THE WHITE HAT HOUSE —
White House challenges hackers to break top AI models at DEF CON 31
The ""largest-ever"" AI red team will seek flaws in OpenAI, Google, Anthropic language models.

BENJ EDWARDS - 5/9/2023, 1:42 AM

Enlarge / An AI-generated image of the White House in front of a cybernetic background.
Midjourney

On Thursday, the White House announced a surprising collaboration between top AI developers, including OpenAI, Google, Antrhopic, Hugging Face, Microsoft, Nvidia, and Stability AI, to participate in a public evaluation of their generative AI systems at DEF CON 31, a hacker convention taking place in Las Vegas in August. The event will be hosted by AI Village, a community of AI hackers.

Since last year, large language models (LLMs) such as ChatGPT have become a popular way to accelerate writing and communications tasks, but officials recognize that they also come with inherent risks. Issues such as confabulations, jailbreaks, and biases pose challenges for security professionals and the public. That's why the White House Office of Science, Technology, and Policy endorses pushing these new generative AI models to their limits.

FURTHER READING
Biden proposes new “Bill of Rights” to protect Americans from AI harms

""This independent exercise will provide critical information to researchers and the public about the impacts of these models and will enable AI companies and developers to take steps to fix issues found in those models,"" says a statement from the White House, which says the event aligns with the Biden administration's AI Bill of Rights and the National Institute of Standards and Technology's AI Risk Management Framework.

In a parallel announcement written by AI Village, organizers Sven Cattell, Rumman Chowdhury, and Austin Carson call the upcoming event ""the largest red teaming exercise ever for any group of AI models."" Thousands of people will take part in the public AI model assessment, which will utilize an evaluation platform developed by Scale AI.

Advertisement

""Red-teaming"" is a process by which security experts attempt to find vulnerabilities or flaws in an organization's systems to improve overall security and resilience.

According to Cattell, the founder of AI Village, ""The diverse issues with these models will not be resolved until more people know how to red team and assess them."" By conducting the largest red-teaming exercise for any group of AI models, AI Village and DEF CON aim to grow the community of researchers equipped to handle vulnerabilities in AI systems.

LLMs have proven surprisingly difficult to lock down in part due to a technique called ""prompt injection,"" which we broke a story about in September. AI researcher Simon Willison has written in detail about the dangers of prompt injection, a technique that can derail a language model into performing actions not intended by its creator.

FURTHER READING
AI-powered Bing Chat spills its secrets via prompt injection attack [Updated]

During the DEF CON event, participants will have timed access to multiple LLMs through laptops provided by the organizers. A capture-the-flag-style point system will encourage testing a wide range of potential harms. At the end, the person with the most points will win a high-end Nvidia GPU.

""We’ll publish what we learn from this event to help others who want to try the same thing,"" writes AI Village. ""The more people who know how to best work with these models, and their limitations, the better.""

DEF CON 31 will take place on August 10–13, 2023, at Caesar's Forum in Las Vegas.","https://arstechnica.com/information-technology/2023/05/white-house-challenges-hackers-to-break-top-ai-models-at-def-con-31/"
"5/9/2023, 1:17 AM","Gene editing makes bacteria-killing viruses even more deadly","The viruses are engineered to damage essential E coli. genes.","UNNATURAL BORN KILLERS —
Gene editing makes bacteria-killing viruses even more deadly
The viruses are engineered to damage essential E coli. genes.

DIANA GITIG - 5/9/2023, 1:17 AM

Enlarge
Getty Images

Broad-spectrum antibiotics are akin to nuclear bombs, obliterating every prokaryote they meet. They're effective at eliminating pathogens, sure, but they're not so great for maintaining a healthy microbiome. Ideally, we need precision antimicrobials that can target only the harmful bacteria while ignoring the other species we need in our bodies, leaving them to thrive. Enter SNIPR BIOME, a Danish company founded to do just that. Its first drug—SNIPR001—is currently in clinical trials.

The drug is designed for people with cancers involving blood cells. The chemotherapy these patients need can cause immunosuppression along with increased intestinal permeability, so they can't fight off any infections they may get from bacteria that escape from their guts into their bloodstream. The mortality rate from such infections in these patients is around 15–20 percent. Many of the infections are caused by E. coli, and much of this E. coli is already resistant to fluoroquinolones, the antibiotics commonly used to treat these types of infections.

The team at SNIPR BIOME engineers bacteriophages, viruses that target bacteria, to make them hyper-selective. They started by screening 162 phages to find those that would infect a broad range of E. coli strains taken from people with bloodstream or urinary tract infections, as well as from the guts of healthy people. They settled on a set of eight different phages. They then engineered these phages to carry the genes that encode the CRISPR DNA-editing system, along with the RNAs needed to target editing to a number of essential genes in the E. coli genome. This approach has been shown to prevent the evolution of resistance.

Advertisement

After testing the ability of these eight engineered phages to kill the E. coli panel alone and in combination, they decided that a group of four of them was the most effective, naming the mixture SNIPR001. But four engineered phages do not make a drug; the team confirmed that SNIPR001 remains stable for five months in storage and that it does not affect any other gut bacteria.

The researchers showed that SNIPR001 was well-tolerated in Göttingen minipigs—after oral administration, the pigs did not exhibit any clinical, biochemical, hematological, or immunological effects, and no phages were found in their blood, so there was no systemic exposure. In mice, oral administration of SNIPR001 reduced the amount of target E. coli in the feces, and none of the recovered E. coli were resistant to the phage cocktail.

Phage therapy, tempting though it is in theory, has a checkered history at best. But SNIPR BIOME’s goal of using CRISPR to precisely target only harmful bacteria may revitalize this technique, allowing us to continue vanquishing our bacterial foes without promoting drug resistance.

Nature Biotechnology, 2023. DOI: 10.1038/s41587-023-01759-y","https://arstechnica.com/science/2023/05/gene-editing-makes-bacteria-killing-viruses-even-more-deadly/"
"5/9/2023, 1:02 AM","Trinity Test is front and center in trailer for Christopher Nolan’s Oppenheimer","""We're in a race against the Nazis, and I know what it means if the Nazis have a bomb.""","AMERICAN PROMETHEUS —
Trinity Test is front and center in trailer for Christopher Nolan’s Oppenheimer
""We're in a race against the Nazis, and I know what it means if the Nazis have a bomb.""

JENNIFER OUELLETTE - 5/9/2023, 1:02 AM

Cillian Murphy plays the ""father of the atomic bomb"" in Christopher Nolan's new film Oppenheimer.

Universal Studios has released another trailer for Christopher Nolan's forthcoming film Oppenheimer, which is based on the Pulitzer Prize-winning 2005 biography American Prometheus by Kai Bird and Martin J. Sherwin. Cillian Murphy stars as physicist J. Robert Oppenheimer, marking the sixth time Murphy has worked with Nolan. Universal Pictures describes the film as ""an epic thriller that thrusts audiences into the pulse-pounding paradox of the enigmatic man who must risk destroying the world in order to save it.""

Industry watchers will note that this is the first film Nolan has made without partnering with Warner Bros. since 2002's Insomnia. Chalk up the falling out to the impact of the COVID-19 pandemic on Hollywood, notably Warner Bros.'s controversial decision to release all its 2021 films simultaneously in theaters and on HBO Max. The studio followed this strategy for Nolan's 2020 sci-fi thriller Tenet, which grossed just $365 million worldwide against its $200 million budget. While this technically made Tenet the fifth biggest film of 2020, by industry standards, it was a box office failure.

Nolan was deeply unhappy with this arrangement, particularly since the studio hadn't conferred with him prior to making the decision about Tenet. So when he decided to write and direct Oppenheimer, the director approached several other studios about partnering with him on the project, eventually signing on with Universal.

Enlarge / Cillian Murphy as J. Robert Oppenheimer
YouTube/Universal Pictures

The cast includes Matt Damon as Major General Leslie R. Groves, head of the Manhattan Project; Emily Blunt as Kitty Oppenheimer; Robert Downey Jr. as Atomic Energy Commission (AEC) chair Lewis Strauss; Florence Pugh as Oppenheimer's mistress, Jean Tatlock; Josh Hartnett as Ernest Lawrence; Matthew Modine as Vannevar Bush; Matthias Schweighöfer as Werner Heisenberg; Christopher Denham as Klaus Fuchs; Gary Oldman as Harry S. Truman; David Krumholtz as I.I. Rabi; Devon Bostick as Seth Neddermeyer; Josh Peck as Kenneth Bainbridge; Danny Deferrari as Enrico Fermi; Benny Safdie as Edward Teller; Gustaf Skarsgård as Hans Bethe; and Tom Conti as Albert Einstein. In addition, Rami Malek, Kenneth Branagh, Jack Quaid, David Dastmalchian, Alex Wolff, Scott Grimes, James D'Arcy, and Casey Affleck will appear in as-yet-undisclosed roles.

Advertisement

It's not hard to fathom why Nolan would be drawn to this material. As we've previously reported, Groves chose Oppenheimer to lead the secret weapons laboratory in Los Alamos, New Mexico. Groves felt the physicist had the breadth of knowledge to bring together physicists, chemists, engineers, and metallurgists (among other disciplines) whose expertise would be crucial to the success of the project.

FURTHER READING
J. Robert Oppenheimer cleared of “black mark” against his name after 68 years

Just before sunrise on July 16, 1945, at the secluded Alamogordo Bombing Range in the Central New Mexican desert, a prototype nuclear bomb nicknamed ""Gadget"" was hoisted to the top of a 100-foot tower and detonated. The blast vaporized the steel tower and produced a mushroom cloud rising to more than 38,000 feet. The heat from the explosion melted the sandy soil around the tower into a mildly radioactive, glassy crust now known as trinitite. The shock wave was powerful enough to break windows 120 miles away. Oppenheimer later recalled that it reminded him of a phrase from the Bhagavad Gita: ""Now I am become Death, destroyer of worlds.""

Page: 1 2 Next →","https://arstechnica.com/gaming/2023/05/trinity-test-is-front-and-center-in-trailer-for-christopher-nolans-oppenheimer/"
"5/8/2023, 11:57 PM","Welcome to Normal: The town that holds the keys to Rivian’s future","Cash-burning EV startup recruits workers in central Illinois pursuing 50,000-delivery goal.","CORN BELT —
Welcome to Normal: The town that holds the keys to Rivian’s future
Cash-burning EV startup recruits workers in central Illinois pursuing 50,000-delivery goal.

CLAIRE BUSHEY AND PETER CAMPBELL, FINANCIAL TIMES - 5/8/2023, 11:57 PM

Enlarge / Rivian pick-up trucks on the assembly line in Normal, Illinois.
Bloomberg

Spotting an electric truck on the road remains a novelty in most of the US, but not Normal, Illinois.

The town in the Midwestern corn belt is home to the manufacturing operations of Rivian, the battery-powered vehicle start-up worth more than Ford or Volkswagen soon after it listed 18 months ago.

Rivian’s market capitalization has since crumbled from a peak of $162 billion to $12.5 billion in the face of production shortfalls and intensifying competition from carmakers both established and new. It is expected to report a $1.7 billion operating loss on $654 million in revenue in first-quarter results due on Tuesday, according to a compilation of analysts’ estimates.

Much of Rivian’s future is riding on Normal. And the economy of Normal, population 54,000, is now tied to Rivian. The town government bought one of its trucks for its fleet and has ordered a sport utility vehicle.

“We want it to succeed,” said Keith Cornille, president of Heartland Community College in Normal. “If they’re suffering, like in any family, we’re suffering.”

Rivian founder and chief executive RJ Scaringe chose Normal for its first factory, buying a former Mitsubishi car plant weeks away from demolition for $16 million in 2017. The purchase price on the old factory was a bargain, and Normal—the site of the Midwest’s first Tesla supercharger—had attempted to position itself as an electric vehicle hub. Scaringe told a local radio station that the Normal area, with a diverse economy that includes agriculture, universities, and the headquarters of the State Farm insurance company, was different from other regional towns that had lost manufacturers.

Advertisement
Enlarge / Keith Cornille, president of Heartland Community College: ""We want it to succeed.""
Justin Lane/Financial Times

“If you look at other plants in the Midwest, and areas affected by their plants shutting down or manufacturing moving out of the area, you don’t have this level of energy,” he said. “You don’t have this level of progressive thinking.”

The company is now the second-largest employer in the metro area that includes Normal and neighboring Bloomington. About 7,500 people work at the plant, roughly half of its workforce. Signs of enthusiasm for Rivian are visible around town, from the company logo emblazoned on the mayor’s Patagonia jacket to the “Rivian Buzz” popcorn sold by a local shop, topped with sprinkles in the carmaker’s signature blue.

The factory struggled to meet ambitious production goals last year, slashing deliveries to 25,000 vehicles from 50,000 as first planned. The problems recalled challenges that confronted Tesla when it scaled up, a period its founder Elon Musk described as “production hell.”

Enlarge
Financial Times

“What we’re witnessing now is the difficulty of scaling up production in the auto industry,” said Fitch Ratings analyst Stephen Brown. “It’s a very expensive proposition that requires a tremendous amount of cash in the early years, and manufacturers have to get through that before they can get to scale and start generating some profitability . . . It’s a race to get to the other side, before the cash runs low.”

One of Tesla’s early, high-profile manufacturing mistakes included making late changes to products that forced suppliers to change their tooling, adding costs to the process and straining all-important supply chain relationships.

At Rivian, a late change to the headlights sent ripples down the supplier base and forced expensive tooling changes, according to two people with direct knowledge of the process.

Page: 1 2 Next →","https://arstechnica.com/cars/2023/05/welcome-to-normal-the-town-that-holds-the-keys-to-rivians-future/"
"5/8/2023, 11:27 PM","Former head of Roscosmos now thinks NASA did not land on the Moon","The Soviets were actually orbiting the Moon when Apollo 11 landed.","A MENDACIOUS MUSCOVITE —
Former head of Roscosmos now thinks NASA did not land on the Moon
The Soviets were actually orbiting the Moon when Apollo 11 landed.

ERIC BERGER - 5/8/2023, 11:27 PM

Enlarge / Roscosmos head Dmitry Rogozin really knows how to fill out a hard hat.
Yegor Aleyev / TASS via Getty Images

Dmitry Rogozin was fired as director general of Russia's main space corporation, Roscosmos, nearly a year ago. He has spent much of the time since near the front lines of Russia's invasion of Ukraine, sharing various hateful, threatening, and nationalistic sentiments on his Telegram account.

Occasionally, however, the pugnacious politician still opines about space on his ""Rogozin at the Front"" social media account. He did so this weekend, calling into question whether the United States really did land astronauts on the Moon.

During his four-year tenure at Roscosmos, Rogozin wrote, he asked his leadership team to look into whether NASA had actually landed a dozen astronauts on the Moon in the late 1960s and early 1970s. After all, Rogozin reasoned, ""It was not clear to me how the United States, at that level of technological development of the '60s of the last century, did what they still cannot do now?""

In response to these queries, Rogozin wrote, he received angry responses from academicians and ""fans"" of NASA at Roscosmos who did not want to undermine cooperation with the US space agency on the International Space Station. As evidence for the landing, Rogozin claims he only received a copy of a book by cosmonaut Alexei Leonov.

Accordingly, at the end of this ""investigation,"" Rogozin said he does not believe Americans landed on the Moon but rather that they had succeeded in infiltrating the ""establishment"" of the Russian space program.

Rogozin's doubts about the Apollo Program did not surface publicly during his years at Roscosmos, but there were plenty of other reasons that NASA and other international partners found his leadership style insufferable. He mocked US astronauts, repeatedly threatened to pull Russia out of the space station partnership, and attempted to use the international facility for propaganda purposes. NASA was therefore thrilled to see Rogozin go when he was effectively fired in July 2022.

Advertisement

So why not just ignore this latest outburst from the mendacious Muscovite?

There are two good reasons. One is that Rogozin is tapping into a strengthening current of Moon-landing denialism. It seems to be increasingly in vogue to harbor doubts about whether NASA really could have pulled this off half a century ago, and Rogozin is more than happy to layer this into his vehement anti-Americanism. This denialism should be recognized and shamed.

Secondly, the Russians observed the lunar landing in real time from the ground—and even had a spacecraft in orbit around the Moon. Rogozin's claim that the only evidence Roscosmos could offer of the Moon landings was a book by Leonov is asinine. In reality, at the same time as the Apollo 11 mission in 1969, the Soviets launched a hastily developed lunar sample return mission. This Luna 15 mission was intended to return a few hundred grams of lunar soil just before NASA's astronauts returned to Earth in an effort to upstage NASA.

The Luna 15 spacecraft was in orbit around the Moon at the time Apollo 11 arrived there and when Neil Armstrong and Buzz Aldrin went down to the surface. There were even some backchannel discussions between NASA and the Soviet space program to ensure that the two spacecraft did not interfere with communications between the Moon and Earth. In short, the Soviets were watching the American Moon landing closely and knew fully well what NASA had accomplished.

As for Luna 15, it crashed into the Moon a few hours before Armstrong and Aldrin took off from the Moon to return to Earth. The space race was over.","https://arstechnica.com/science/2023/05/former-head-of-roscosmos-now-thinks-nasa-did-not-land-on-the-moon/"
